# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
440             	1.31628822e-02	2.57490896e-01	-2.44328014e-01	4.01455128e-01	5.03405149e-01	-1.01950021e-01	3.02677585e-01	2.50909455e-01	-8.22680139e-03	-8.83695709e-22	-8.22680139e-03	8.22680139e-03
450             	1.31371038e-02	2.56443666e-01	-2.43306562e-01	3.99800182e-01	5.01683644e-01	-1.01883462e-01	3.01783553e-01	2.49875114e-01	-8.21068989e-03	-8.79417172e-22	-8.21068989e-03	8.21068989e-03
460             	1.28752816e-02	2.56668085e-01	-2.43792804e-01	4.00368711e-01	5.02530715e-01	-1.02162004e-01	3.02346360e-01	2.50230445e-01	-8.04705101e-03	-8.73405221e-22	-8.04705101e-03	8.04705101e-03
470             	1.25625161e-02	2.55950724e-01	-2.43388208e-01	3.99471146e-01	5.02036259e-01	-1.02565113e-01	3.02300686e-01	2.49669466e-01	-7.85157254e-03	-8.55875586e-22	-7.85157254e-03	7.85157254e-03
480             	1.19073609e-02	2.55033878e-01	-2.43126518e-01	3.98528317e-01	5.00893503e-01	-1.02365186e-01	3.01629344e-01	2.49080198e-01	-7.44210055e-03	-8.37927651e-22	-7.44210055e-03	7.44210055e-03
490             	1.19909812e-02	2.54484852e-01	-2.42493871e-01	3.97582978e-01	5.00212899e-01	-1.02629920e-01	3.01421409e-01	2.48489362e-01	-7.49436324e-03	-8.46517903e-22	-7.49436324e-03	7.49436324e-03
500             	1.24436505e-02	2.53197442e-01	-2.40753791e-01	3.95160986e-01	4.97374809e-01	-1.02213822e-01	2.99794315e-01	2.46975616e-01	-7.77728153e-03	-8.54460273e-22	-7.77728153e-03	7.77728153e-03
510             	1.27854990e-02	2.53630357e-01	-2.40844858e-01	3.95580171e-01	4.98271003e-01	-1.02690832e-01	3.00480918e-01	2.47237607e-01	-7.99093689e-03	-8.57806857e-22	-7.99093689e-03	7.99093689e-03
520             	1.29671080e-02	2.52789007e-01	-2.39821899e-01	3.94088725e-01	4.96605287e-01	-1.02516562e-01	2.99560924e-01	2.46305453e-01	-8.10444253e-03	-8.63934647e-22	-8.10444253e-03	8.10444253e-03
530             	1.28369192e-02	2.52478819e-01	-2.39641900e-01	3.93696576e-01	4.96282330e-01	-1.02585755e-01	2.99434043e-01	2.46060360e-01	-8.02307449e-03	-8.56691729e-22	-8.02307449e-03	8.02307449e-03
540             	1.24502969e-02	2.51729628e-01	-2.39279331e-01	3.92807167e-01	4.95361504e-01	-1.02554337e-01	2.98957920e-01	2.45504480e-01	-7.78143553e-03	-8.34538970e-22	-7.78143553e-03	7.78143553e-03
550             	1.21805859e-02	2.52612524e-01	-2.40431938e-01	3.94435569e-01	4.97399849e-01	-1.02964280e-01	3.00182065e-01	2.46522231e-01	-7.61286621e-03	-8.21167820e-22	-7.61286621e-03	7.61286621e-03
560             	1.19967647e-02	2.51575465e-01	-2.39578700e-01	3.92923332e-01	4.95598768e-01	-1.02675437e-01	2.99137103e-01	2.45577082e-01	-7.49797794e-03	-8.27017117e-22	-7.49797794e-03	7.49797794e-03
570             	1.24513530e-02	2.49732219e-01	-2.37280866e-01	3.89610469e-01	4.91909497e-01	-1.02299028e-01	2.97104262e-01	2.43506543e-01	-7.78209564e-03	-8.27789431e-22	-7.78209564e-03	7.78209564e-03
580             	1.24808402e-02	2.49181798e-01	-2.36700958e-01	3.88706205e-01	4.91672848e-01	-1.02966643e-01	2.97319746e-01	2.42941378e-01	-7.80052512e-03	-8.43564461e-22	-7.80052512e-03	7.80052512e-03
590             	1.24238362e-02	2.45926157e-01	-2.33502321e-01	3.83542782e-01	4.86761902e-01	-1.03219120e-01	2.94990511e-01	2.39714239e-01	-7.76489760e-03	-8.51906707e-22	-7.76489760e-03	7.76489760e-03
600             	1.23098800e-02	2.42366425e-01	-2.30056545e-01	3.77938376e-01	4.81527747e-01	-1.03589371e-01	2.92558559e-01	2.36211485e-01	-7.69367498e-03	-8.61588067e-22	-7.69367498e-03	7.69367498e-03
610             	1.17803902e-02	2.38601701e-01	-2.26821311e-01	3.72338409e-01	4.77415299e-01	-1.05076890e-01	2.91246095e-01	2.32711506e-01	-7.36274388e-03	-8.65658197e-22	-7.36274388e-03	7.36274388e-03
620             	1.11246409e-02	2.34639948e-01	-2.23515307e-01	3.66524204e-01	4.73175559e-01	-1.06651354e-01	2.89913457e-01	2.29077628e-01	-6.95290058e-03	-8.65409584e-22	-6.95290058e-03	6.95290058e-03
630             	1.04229768e-02	2.33773052e-01	-2.23350075e-01	3.65698502e-01	4.72844780e-01	-1.07146278e-01	2.89995529e-01	2.28561564e-01	-6.51436050e-03	-8.49215635e-22	-6.51436050e-03	6.51436050e-03
640             	1.05299757e-02	2.34249418e-01	-2.23719442e-01	3.66375087e-01	4.72469010e-01	-1.06093923e-01	2.89281466e-01	2.28984430e-01	-6.58123484e-03	-8.43667025e-22	-6.58123484e-03	6.58123484e-03
650             	1.05166111e-02	2.35448711e-01	-2.24932100e-01	3.68304649e-01	4.73627500e-01	-1.05322851e-01	2.89475175e-01	2.30190406e-01	-6.57288196e-03	-8.43056183e-22	-6.57288196e-03	6.57288196e-03
660             	1.11159663e-02	2.38442544e-01	-2.27326578e-01	3.72615298e-01	4.77424582e-01	-1.04809284e-01	2.91116933e-01	2.32884561e-01	-6.94747894e-03	-8.52051366e-22	-6.94747894e-03	6.94747894e-03
670             	1.17089574e-02	2.38050014e-01	-2.26341056e-01	3.71512856e-01	4.75243403e-01	-1.03730547e-01	2.89486975e-01	2.32195535e-01	-7.31809834e-03	-8.65033775e-22	-7.31809834e-03	7.31809834e-03
680             	1.19678352e-02	2.39416576e-01	-2.27448741e-01	3.73492254e-01	4.76735465e-01	-1.03243211e-01	2.89989338e-01	2.33432659e-01	-7.47989702e-03	-8.63248246e-22	-7.47989702e-03	7.47989702e-03
690             	1.20540827e-02	2.41462577e-01	-2.29408494e-01	3.76696857e-01	4.80285823e-01	-1.03588966e-01	2.91937394e-01	2.35435536e-01	-7.53380171e-03	-8.70021919e-22	-7.53380171e-03	7.53380171e-03
700             	1.26166683e-02	2.41018546e-01	-2.28401878e-01	3.75536339e-01	4.78223548e-01	-1.02687209e-01	2.90455379e-01	2.34710212e-01	-7.88541766e-03	-8.67034202e-22	-7.88541766e-03	7.88541766e-03
710             	1.20869859e-02	2.42832651e-01	-2.30745665e-01	3.78862653e-01	4.81838159e-01	-1.02975506e-01	2.92406832e-01	2.36789158e-01	-7.55436620e-03	-8.65692615e-22	-7.55436620e-03	7.55436620e-03
720             	1.21264682e-02	2.43463432e-01	-2.31336964e-01	3.79840316e-01	4.82564543e-01	-1.02724227e-01	2.92644385e-01	2.37400198e-01	-7.57904264e-03	-8.56484160e-22	-7.57904264e-03	7.57904264e-03
730             	1.22036540e-02	2.44262892e-01	-2.32059238e-01	3.81057704e-01	4.84121557e-01	-1.03063853e-01	2.93592705e-01	2.38161065e-01	-7.62728375e-03	-8.57024366e-22	-7.62728375e-03	7.62728375e-03
740             	1.18365340e-02	2.44524922e-01	-2.32688388e-01	3.81770649e-01	4.85049208e-01	-1.03278559e-01	2.94163884e-01	2.38606655e-01	-7.39783375e-03	-8.48438957e-22	-7.39783375e-03	7.39783375e-03
750             	1.20224888e-02	2.44397548e-01	-2.32375059e-01	3.81418085e-01	4.84531887e-01	-1.03113801e-01	2.93822844e-01	2.38386303e-01	-7.51405552e-03	-8.55938631e-22	-7.51405552e-03	7.51405552e-03
760             	1.18567885e-02	2.44637083e-01	-2.32780294e-01	3.81933901e-01	4.85270803e-01	-1.03336902e-01	2.94303852e-01	2.38708688e-01	-7.41049280e-03	-8.59885715e-22	-7.41049280e-03	7.41049280e-03
770             	1.22974221e-02	2.45288625e-01	-2.32991203e-01	3.82623862e-01	4.85615837e-01	-1.02991975e-01	2.94303906e-01	2.39139914e-01	-7.68588880e-03	-8.61665355e-22	-7.68588880e-03	7.68588880e-03
780             	1.23847746e-02	2.46656402e-01	-2.34271628e-01	3.84742424e-01	4.87754998e-01	-1.03012573e-01	2.95383785e-01	2.40464015e-01	-7.74048412e-03	-8.63844941e-22	-7.74048412e-03	7.74048412e-03
790             	1.22475125e-02	2.48042069e-01	-2.35794556e-01	3.87069300e-01	4.90285346e-01	-1.03216046e-01	2.96750696e-01	2.41918312e-01	-7.65469533e-03	-8.66138494e-22	-7.65469533e-03	7.65469533e-03
800             	1.27164815e-02	2.48963082e-01	-2.36246601e-01	3.88167747e-01	4.90968310e-01	-1.02800564e-01	2.96884437e-01	2.42604842e-01	-7.94780092e-03	-8.63978014e-22	-7.94780092e-03	7.94780092e-03
810             	1.28676597e-02	2.50119334e-01	-2.37251674e-01	3.89896806e-01	4.92748823e-01	-1.02852016e-01	2.97800419e-01	2.43685504e-01	-8.04228731e-03	-8.67423097e-22	-8.04228731e-03	8.04228731e-03
820             	1.29992949e-02	2.51648617e-01	-2.38649323e-01	3.92238352e-01	4.95170965e-01	-1.02932613e-01	2.99051789e-01	2.45148970e-01	-8.12455930e-03	-8.72613329e-22	-8.12455930e-03	8.12455930e-03
830             	1.28660121e-02	2.53043901e-01	-2.40177889e-01	3.94577433e-01	4.97542458e-01	-1.02965025e-01	3.00253742e-01	2.46610895e-01	-8.04125757e-03	-8.60655133e-22	-8.04125757e-03	8.04125757e-03
840             	1.25822750e-02	2.54868885e-01	-2.42286610e-01	3.97724397e-01	5.01023240e-01	-1.03298843e-01	3.02161042e-01	2.48577748e-01	-7.86392187e-03	-8.48734803e-22	-7.86392187e-03	7.86392187e-03
850             	1.22611830e-02	2.57157689e-01	-2.44896506e-01	4.01643356e-01	5.05572719e-01	-1.03929364e-01	3.04751041e-01	2.51027097e-01	-7.66323938e-03	-8.35316497e-22	-7.66323938e-03	7.66323938e-03
860             	1.24360681e-02	2.57380786e-01	-2.44944718e-01	4.01860403e-01	5.05524872e-01	-1.03664469e-01	3.04594671e-01	2.51162752e-01	-7.77254257e-03	-8.37517506e-22	-7.77254257e-03	7.77254257e-03
870             	1.24943074e-02	2.57622934e-01	-2.45128627e-01	4.02201249e-01	5.05807765e-01	-1.03606516e-01	3.04707140e-01	2.51375780e-01	-7.80894213e-03	-8.50970336e-22	-7.80894213e-03	7.80894213e-03
880             	1.27891311e-02	2.58700485e-01	-2.45911354e-01	4.03689471e-01	5.06933344e-01	-1.03243872e-01	3.05088608e-01	2.52305920e-01	-7.99320695e-03	-8.51022738e-22	-7.99320695e-03	7.99320695e-03
890             	1.32792318e-02	2.60279185e-01	-2.46999953e-01	4.05823310e-01	5.09160210e-01	-1.03336900e-01	3.06248555e-01	2.53639569e-01	-8.29951988e-03	-8.58257833e-22	-8.29951988e-03	8.29951988e-03
900             	1.29971709e-02	2.61672095e-01	-2.48674924e-01	4.08277616e-01	5.12041854e-01	-1.03764239e-01	3.07903047e-01	2.55173510e-01	-8.12323184e-03	-8.51923949e-22	-8.12323184e-03	8.12323184e-03
910             	1.28475814e-02	2.62938957e-01	-2.50091375e-01	4.10424266e-01	5.14485424e-01	-1.04061159e-01	3.09273291e-01	2.56515166e-01	-8.02973837e-03	-8.42594169e-22	-8.02973837e-03	8.02973837e-03
