# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
67              	smoothSolver	4.50042740e-03	9.57035240e-05	4	3.85052370e-03	7.33183230e-05	4	false	smoothSolver	5.13736590e-04	2.15231540e-05	4	true	smoothSolver	1.55858830e-04	8.36583310e-06	4	true	GAMG	1.84690740e-02	1.56927990e-03	1	true
68              	smoothSolver	4.47305810e-03	9.48618320e-05	4	3.83848410e-03	7.05450550e-05	4	false	smoothSolver	5.17185270e-04	2.16874550e-05	4	true	smoothSolver	1.55221180e-04	8.28545790e-06	4	true	GAMG	1.90175060e-02	1.63165290e-03	1	true
69              	smoothSolver	4.44073440e-03	9.43593150e-05	4	3.83677440e-03	3.81251300e-04	2	false	smoothSolver	5.19178650e-04	2.16886660e-05	4	true	smoothSolver	1.53610330e-04	8.19761010e-06	4	true	GAMG	1.86447360e-02	1.56509270e-03	1	true
70              	smoothSolver	4.41968650e-03	9.24931670e-05	4	3.81887280e-03	6.94546970e-05	4	false	smoothSolver	5.20823140e-04	2.18142850e-05	4	true	smoothSolver	1.52931770e-04	8.11903670e-06	4	true	GAMG	1.88366110e-02	1.53061150e-03	1	true
71              	smoothSolver	4.37933740e-03	9.19880840e-05	4	3.75452290e-03	3.73666680e-04	2	false	smoothSolver	5.21589810e-04	2.19114700e-05	4	true	smoothSolver	1.51569820e-04	8.03898710e-06	4	true	GAMG	1.82719670e-02	1.44640460e-03	1	true
72              	smoothSolver	4.35842760e-03	9.14306700e-05	4	3.75915040e-03	7.06886500e-05	4	false	smoothSolver	5.24671470e-04	2.20672510e-05	4	true	smoothSolver	1.50700680e-04	7.98114930e-06	4	true	GAMG	1.91409680e-02	1.54332070e-03	1	true
73              	smoothSolver	4.32175250e-03	9.05761600e-05	4	3.70281140e-03	6.82272940e-05	4	false	smoothSolver	5.26451900e-04	2.21262840e-05	4	true	smoothSolver	1.49736060e-04	7.96365410e-06	4	true	GAMG	1.84430300e-02	1.48989440e-03	1	true
74              	smoothSolver	4.28344050e-03	8.97156880e-05	4	3.68495360e-03	6.85609230e-05	4	false	smoothSolver	5.27794490e-04	2.20926930e-05	4	true	smoothSolver	1.48876470e-04	7.86910650e-06	4	true	GAMG	1.86965960e-02	1.49850670e-03	1	true
75              	smoothSolver	4.25374750e-03	8.95220750e-05	4	3.67798430e-03	6.74030920e-05	4	false	smoothSolver	5.31974270e-04	2.21765280e-05	4	true	smoothSolver	1.48263650e-04	7.79505770e-06	4	true	GAMG	1.75062950e-02	1.40885690e-03	1	true
76              	smoothSolver	4.21498730e-03	8.75728500e-05	4	3.64507780e-03	3.56654090e-04	2	false	smoothSolver	5.33167420e-04	2.21694770e-05	4	true	smoothSolver	1.46873980e-04	7.71544870e-06	4	true	GAMG	1.82031800e-02	1.50804850e-03	1	true
77              	smoothSolver	4.19084720e-03	8.68540920e-05	4	3.61668550e-03	3.59284510e-04	2	false	smoothSolver	5.34758910e-04	2.22600000e-05	4	true	smoothSolver	1.45993600e-04	7.68423880e-06	4	true	GAMG	1.73747250e-02	1.40912440e-03	1	true
78              	smoothSolver	4.15295710e-03	8.61548950e-05	4	3.60418000e-03	6.66582180e-05	4	false	smoothSolver	5.36497040e-04	2.23026350e-05	4	true	smoothSolver	1.44848630e-04	7.59449110e-06	4	true	GAMG	1.68829960e-02	1.43538010e-03	1	true
79              	smoothSolver	4.12926160e-03	8.54926880e-05	4	3.59516770e-03	6.62988610e-05	4	false	smoothSolver	5.39599460e-04	2.24709480e-05	4	true	smoothSolver	1.44458500e-04	7.59077570e-06	4	true	GAMG	1.67768690e-02	1.37644980e-03	1	true
80              	smoothSolver	4.09525710e-03	8.43843180e-05	4	3.55208000e-03	6.55377200e-05	4	false	smoothSolver	5.39842600e-04	2.25431420e-05	4	true	smoothSolver	1.42748750e-04	7.53177270e-06	4	true	GAMG	1.73442580e-02	1.39653320e-03	1	true
81              	smoothSolver	4.07643220e-03	8.36992820e-05	4	3.56939900e-03	3.53422490e-04	2	false	smoothSolver	5.43246620e-04	2.27255610e-05	4	true	smoothSolver	1.42723630e-04	7.55057560e-06	4	true	GAMG	1.70921050e-02	1.35100160e-03	1	true
82              	smoothSolver	4.04991700e-03	8.31597120e-05	4	3.54151050e-03	3.53525450e-04	2	false	smoothSolver	5.44598360e-04	2.27700650e-05	4	true	smoothSolver	1.42225010e-04	7.55876920e-06	4	true	GAMG	1.69200010e-02	1.33535950e-03	1	true
83              	smoothSolver	4.03450790e-03	8.24890750e-05	4	3.51029290e-03	3.49411440e-04	2	false	smoothSolver	5.46160540e-04	2.28540750e-05	4	true	smoothSolver	1.41260490e-04	7.53468660e-06	4	true	GAMG	1.69285110e-02	1.31377680e-03	1	true
84              	smoothSolver	4.00272760e-03	8.16777170e-05	4	3.47531440e-03	6.45492630e-05	4	false	smoothSolver	5.47036140e-04	2.29244260e-05	4	true	smoothSolver	1.39880350e-04	7.47997160e-06	4	true	GAMG	1.59355290e-02	1.26635790e-03	1	true
85              	smoothSolver	3.98544500e-03	8.14035770e-05	4	3.47232980e-03	6.37884140e-05	4	false	smoothSolver	5.50569420e-04	2.30848200e-05	4	true	smoothSolver	1.39229400e-04	7.45682820e-06	4	true	GAMG	1.61902550e-02	1.25841830e-03	1	true
86              	smoothSolver	3.96540490e-03	8.07961150e-05	4	3.45866610e-03	6.28902810e-05	4	false	smoothSolver	5.53553980e-04	2.31847820e-05	4	true	smoothSolver	1.38927930e-04	7.36685980e-06	4	true	GAMG	1.60916240e-02	1.30257390e-03	1	true
87              	smoothSolver	3.94511410e-03	8.01775040e-05	4	3.43593030e-03	6.17816180e-05	4	false	smoothSolver	5.56103520e-04	2.32678500e-05	4	true	smoothSolver	1.38613840e-04	7.31972560e-06	4	true	GAMG	1.63217050e-02	1.30610360e-03	1	true
88              	smoothSolver	3.91801270e-03	7.95153470e-05	4	3.42279360e-03	3.40013310e-04	2	false	smoothSolver	5.58460640e-04	2.33902090e-05	4	true	smoothSolver	1.37779640e-04	7.26532010e-06	4	true	GAMG	1.53838290e-02	1.22137180e-03	1	true
89              	smoothSolver	3.89604670e-03	7.83174590e-05	4	3.43070720e-03	3.42520030e-04	2	false	smoothSolver	5.60945160e-04	2.34715340e-05	4	true	smoothSolver	1.37888100e-04	7.23282380e-06	4	true	GAMG	1.59016160e-02	1.24222600e-03	1	true
90              	smoothSolver	3.87607360e-03	7.81926030e-05	4	3.42746700e-03	6.34522940e-05	4	false	smoothSolver	5.63055610e-04	2.36193160e-05	4	true	smoothSolver	1.37651230e-04	7.19259210e-06	4	true	GAMG	1.53012850e-02	1.20254750e-03	1	true
91              	smoothSolver	3.84944690e-03	7.73706910e-05	4	3.40739310e-03	3.39689160e-04	2	false	smoothSolver	5.64859420e-04	2.36820780e-05	4	true	smoothSolver	1.37506980e-04	7.17711090e-06	4	true	GAMG	1.53169060e-02	1.20196730e-03	1	true
92              	smoothSolver	3.82130320e-03	7.64761610e-05	4	3.37785370e-03	6.16866980e-05	4	false	smoothSolver	5.66094660e-04	2.37029800e-05	4	true	smoothSolver	1.36811920e-04	7.17267910e-06	4	true	GAMG	1.54852970e-02	1.22148850e-03	1	true
93              	smoothSolver	3.79450680e-03	7.57245320e-05	4	3.34114960e-03	6.11986300e-05	4	false	smoothSolver	5.67338630e-04	2.37764220e-05	4	true	smoothSolver	1.36522480e-04	7.15423620e-06	4	true	GAMG	1.64053320e-02	1.33139620e-03	1	true
94              	smoothSolver	3.77307140e-03	7.54232690e-05	4	3.33274640e-03	3.28440180e-04	2	false	smoothSolver	5.68184980e-04	2.37738300e-05	4	true	smoothSolver	1.35715750e-04	7.11605160e-06	4	true	GAMG	1.58427210e-02	1.24101230e-03	1	true
95              	smoothSolver	3.74942510e-03	7.40750300e-05	4	3.31449240e-03	3.29995140e-04	2	false	smoothSolver	5.67985920e-04	2.37128790e-05	4	true	smoothSolver	1.35613860e-04	7.06303810e-06	4	true	GAMG	1.60084210e-02	1.24994280e-03	1	true
96              	smoothSolver	3.73932220e-03	7.43740310e-05	4	3.30904030e-03	6.00440220e-05	4	false	smoothSolver	5.68577240e-04	2.35834800e-05	4	true	smoothSolver	1.34751080e-04	6.99396170e-06	4	true	GAMG	1.50477110e-02	1.21287330e-03	1	true
97              	smoothSolver	3.71451610e-03	7.34341100e-05	4	3.31018840e-03	3.30082150e-04	2	false	smoothSolver	5.68198500e-04	2.36114320e-05	4	true	smoothSolver	1.34140920e-04	6.99696890e-06	4	true	GAMG	1.55263310e-02	1.28202970e-03	1	true
