# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2750            	-4.40337445e-02	4.70905206e-01	-5.14938951e-01	7.88675325e-01	9.99074476e-01	-2.10399151e-01	6.04736813e-01	4.92922078e-01	2.75210903e-02	4.66590754e-22	2.75210903e-02	-2.75210903e-02
2760            	-4.47278353e-02	4.71235944e-01	-5.15963780e-01	7.89759779e-01	1.00080552e+00	-2.11045740e-01	6.05925630e-01	4.93599862e-01	2.79548971e-02	4.79138377e-22	2.79548971e-02	-2.79548971e-02
2770            	-4.37998249e-02	4.70555002e-01	-5.14354827e-01	7.87927864e-01	9.97902364e-01	-2.09974500e-01	6.03938432e-01	4.92454915e-01	2.73748906e-02	4.80447320e-22	2.73748906e-02	-2.73748906e-02
2780            	-4.48384008e-02	4.71065104e-01	-5.15903505e-01	7.89574887e-01	1.00014760e+00	-2.10572710e-01	6.05360154e-01	4.93484304e-01	2.80240005e-02	5.05128576e-22	2.80240005e-02	-2.80240005e-02
2790            	-4.40607324e-02	4.72614746e-01	-5.16675479e-01	7.91432180e-01	1.00253542e+00	-2.11103239e-01	6.06819329e-01	4.94645112e-01	2.75379577e-02	4.85446051e-22	2.75379577e-02	-2.75379577e-02
2800            	-4.39720754e-02	4.71262346e-01	-5.15234422e-01	7.89197415e-01	9.99457396e-01	-2.10259981e-01	6.04858688e-01	4.93248384e-01	2.74825471e-02	4.74592993e-22	2.74825471e-02	-2.74825471e-02
2810            	-4.42520573e-02	4.71761957e-01	-5.16014015e-01	7.90220777e-01	1.00077773e+00	-2.10556952e-01	6.05667341e-01	4.93887986e-01	2.76575358e-02	4.92322455e-22	2.76575358e-02	-2.76575358e-02
2820            	-4.41207662e-02	4.70971244e-01	-5.15092010e-01	7.88850603e-01	9.99026659e-01	-2.10176056e-01	6.04601358e-01	4.93031627e-01	2.75754789e-02	4.77762060e-22	2.75754789e-02	-2.75754789e-02
2830            	-4.44485370e-02	4.71050901e-01	-5.15499438e-01	7.89240271e-01	9.99128612e-01	-2.09888341e-01	6.04508477e-01	4.93275170e-01	2.77803356e-02	4.92666593e-22	2.77803356e-02	-2.77803356e-02
2840            	-4.37124737e-02	4.71709131e-01	-5.15421604e-01	7.89704588e-01	1.00005754e+00	-2.10352948e-01	6.05205242e-01	4.93565367e-01	2.73202960e-02	4.84601693e-22	2.73202960e-02	-2.73202960e-02
2850            	-4.42327616e-02	4.72152852e-01	-5.16385614e-01	7.90830773e-01	1.00153238e+00	-2.10701608e-01	6.06116995e-01	4.94269233e-01	2.76454760e-02	4.67671430e-22	2.76454760e-02	-2.76454760e-02
2860            	-4.40105081e-02	4.71135667e-01	-5.15146175e-01	7.89025474e-01	9.99075306e-01	-2.10049832e-01	6.04562569e-01	4.93140921e-01	2.75065676e-02	4.61345404e-22	2.75065676e-02	-2.75065676e-02
2870            	-4.39093502e-02	4.71515494e-01	-5.15424844e-01	7.89552271e-01	9.99827553e-01	-2.10275282e-01	6.05051418e-01	4.93470169e-01	2.74433439e-02	4.66496761e-22	2.74433439e-02	-2.74433439e-02
2880            	-4.43883189e-02	4.72897686e-01	-5.17286004e-01	7.92146952e-01	1.00347935e+00	-2.11332399e-01	6.07405875e-01	4.95091845e-01	2.77426993e-02	5.10991631e-22	2.77426993e-02	-2.77426993e-02
2890            	-4.41563738e-02	4.71903434e-01	-5.16059808e-01	7.90370594e-01	1.00125339e+00	-2.10882794e-01	6.06068091e-01	4.93981621e-01	2.75977336e-02	5.21028368e-22	2.75977336e-02	-2.75977336e-02
2900            	-4.38112629e-02	4.69244775e-01	-5.13056038e-01	7.85840650e-01	9.95109653e-01	-2.09269002e-01	6.02189327e-01	4.91150407e-01	2.73820393e-02	4.32653172e-22	2.73820393e-02	-2.73820393e-02
2910            	-4.47120817e-02	4.71287301e-01	-5.15999383e-01	7.89829348e-01	1.00036568e+00	-2.10536331e-01	6.05451005e-01	4.93643342e-01	2.79450511e-02	5.32295551e-22	2.79450511e-02	-2.79450511e-02
2920            	-4.41771895e-02	4.70582909e-01	-5.14760098e-01	7.88274406e-01	9.98671646e-01	-2.10397241e-01	6.04534444e-01	4.92671503e-01	2.76107434e-02	4.90580281e-22	2.76107434e-02	-2.76107434e-02
2930            	-4.40460965e-02	4.70241212e-01	-5.14287309e-01	7.87622817e-01	9.97671928e-01	-2.10049111e-01	6.03860519e-01	4.92264260e-01	2.75288103e-02	4.92588917e-22	2.75288103e-02	-2.75288103e-02
2940            	-4.41268109e-02	4.70356266e-01	-5.14483077e-01	7.87871475e-01	9.98082484e-01	-2.10211009e-01	6.04146747e-01	4.92419672e-01	2.75792568e-02	4.67719726e-22	2.75792568e-02	-2.75792568e-02
2950            	-4.40060564e-02	4.70625967e-01	-5.14632024e-01	7.88206393e-01	9.98625345e-01	-2.10418953e-01	6.04522149e-01	4.92628995e-01	2.75037852e-02	4.51718866e-22	2.75037852e-02	-2.75037852e-02
2960            	-4.44506034e-02	4.70742786e-01	-5.15193389e-01	7.88748940e-01	9.99133288e-01	-2.10384348e-01	6.04758818e-01	4.92968087e-01	2.77816271e-02	4.77027009e-22	2.77816271e-02	-2.77816271e-02
